"TS","N","MBYTES"
"2013-08-21 01:00:00",20,15019.1
"2013-08-21 02:00:00",14,10483.4
"2013-08-21 03:00:00",17,12744.35
"2013-08-21 04:00:00",23,17259.51
"2013-08-21 05:00:00",11,8253.67
"2013-08-21 06:00:00",16,12306.18
"2013-08-21 07:00:00",78,68094.92
"2013-08-21 08:00:00",12,9247.6
"2013-08-21 09:00:00",23,18084.4
"2013-08-21 10:00:00",28,21826.43
"2013-08-21 11:00:00",21,16047.7
"2013-08-21 12:00:00",10,7068.49
"2013-08-21 13:00:00",4,1586.85
"2013-08-21 14:00:00",5,2863.73
"2013-08-21 15:00:00",4,2454.64
"2013-08-21 16:00:00",4,1998.14
"2013-08-21 17:00:00",6,4135.48
"2013-08-21 18:00:00",6,3353.34
"2013-08-21 19:00:00",10,7103.94
"2013-08-21 20:00:00",15,11118.63
"2013-08-21 21:00:00",4,1792.2
"2013-08-21 22:00:00",4,1273.85
"2013-08-21 23:00:00",12,8752.31
"2013-08-22 00:00:00",16,11998.23
"2013-08-22 01:00:00",15,11235.15
"2013-08-22 02:00:00",19,14258.65
"2013-08-22 03:00:00",13,9729.16
"2013-08-22 04:00:00",14,10483.1
"2013-08-22 05:00:00",8,6048.35
"2013-08-22 06:00:00",19,15271.29
"2013-08-22 07:00:00",74,65021.5
"2013-08-22 08:00:00",12,9087.68
"2013-08-22 09:00:00",20,15268.67
"2013-08-22 10:00:00",19,14609.67
"2013-08-22 11:00:00",10,7862.9
"2013-08-22 12:00:00",17,13046.34
"2013-08-22 13:00:00",8,5915.25
"2013-08-22 14:00:00",54,42807.47
"2013-08-22 15:00:00",7,4289.88
"2013-08-22 16:00:00",13,9870.81
"2013-08-22 17:00:00",42,33060.76
"2013-08-22 18:00:00",16,11433.18
"2013-08-22 19:00:00",7,4848.35
"2013-08-22 20:00:00",15,11132.86
"2013-08-22 21:00:00",4,1064.19
"2013-08-22 22:00:00",4,719.64
"2013-08-22 23:00:00",11,7616.7
"2013-08-23 00:00:00",20,15108.52
"2013-08-23 01:00:00",16,11977.75
"2013-08-23 02:00:00",14,9848.98
"2013-08-23 03:00:00",8,5305.92
"2013-08-23 04:00:00",20,14985.67
"2013-08-23 05:00:00",6,4412.74
"2013-08-23 06:00:00",14,10793.05
"2013-08-23 07:00:00",74,64200.51
"2013-08-23 08:00:00",20,15821.79
"2013-08-23 09:00:00",35,27487.39
"2013-08-23 10:00:00",44,34497.94
"2013-08-23 11:00:00",17,13169.42
"2013-08-23 12:00:00",19,14888.99
"2013-08-23 13:00:00",23,17716.98
"2013-08-23 14:00:00",13,9929.27
"2013-08-23 15:00:00",12,9107.44
"2013-08-23 16:00:00",17,13273.3
"2013-08-23 17:00:00",7,4934.07
"2013-08-23 18:00:00",4,1586.09
"2013-08-23 19:00:00",8,5372
"2013-08-23 20:00:00",18,13465
"2013-08-23 21:00:00",4,900.19
"2013-08-23 22:00:00",4,1094.08
"2013-08-23 23:00:00",12,8235.78
"2013-08-24 00:00:00",18,13524.94
"2013-08-24 01:00:00",19,14236.97
"2013-08-24 02:00:00",19,14362.52
"2013-08-24 03:00:00",13,9738.67
"2013-08-24 04:00:00",22,16600.79
"2013-08-24 05:00:00",11,8263.49
"2013-08-24 06:00:00",11,8517.44
"2013-08-24 07:00:00",75,65936.6
"2013-08-24 08:00:00",9,6755.25
"2013-08-24 09:00:00",9,6561.79
"2013-08-24 10:00:00",9,6678.32
"2013-08-24 11:00:00",9,6654.54
"2013-08-24 12:00:00",8,4835.67
"2013-08-24 13:00:00",5,2498.24
"2013-08-24 14:00:00",4,1461.37
"2013-08-24 15:00:00",4,1366.21
"2013-08-24 16:00:00",4,1835.91
"2013-08-24 17:00:00",4,1470.58
"2013-08-24 18:00:00",4,1227.23
"2013-08-24 19:00:00",7,4623.14
"2013-08-24 20:00:00",14,10116.02
"2013-08-24 21:00:00",4,1302.86
"2013-08-24 22:00:00",5,2180.23
"2013-08-24 23:00:00",13,9247.9
"2013-08-25 00:00:00",16,11990.39
"2013-08-25 01:00:00",17,12755.32
"2013-08-25 02:00:00",13,9265.06
"2013-08-25 03:00:00",23,16981.16
"2013-08-25 04:00:00",49,37622.6
"2013-08-25 05:00:00",21,15993.14
"2013-08-25 06:00:00",17,14176.63
"2013-08-25 07:00:00",68,59916.16
"2013-08-25 08:00:00",9,6860.63
"2013-08-25 09:00:00",5,3679.36
"2013-08-25 10:00:00",4,2079.6
"2013-08-25 11:00:00",11,7792.01
"2013-08-25 12:00:00",6,3134.53
"2013-08-25 13:00:00",4,1251.14
"2013-08-25 14:00:00",4,1232.31
"2013-08-25 15:00:00",4,1241.63
"2013-08-25 16:00:00",14,10114.76
"2013-08-25 17:00:00",4,1721.09
"2013-08-25 18:00:00",4,1269.33
"2013-08-25 19:00:00",6,4292.06
"2013-08-25 20:00:00",22,16075.19
"2013-08-25 21:00:00",4,861.81
"2013-08-25 22:00:00",4,546.43
"2013-08-25 23:00:00",10,6835.99
"2013-08-26 00:00:00",14,10463.96
"2013-08-26 01:00:00",15,11246.06
"2013-08-26 02:00:00",19,14333.26
"2013-08-26 03:00:00",14,10471.67
"2013-08-26 04:00:00",18,13598.23
"2013-08-26 05:00:00",33,25376.31
"2013-08-26 06:00:00",22,16603.57
"2013-08-26 07:00:00",34,28844.66
