"TS","WAIT_CLASS","EVENT","READ_OR_WRITE","BLOCKING_SESSION","MACHINE","MODULE","IN_STAGE","SQL_ID","N"
"2013-09-01 06:16:00","Concurrency","library cache: mutex X","READ","5715:40999","app12-host","Module1","SOFT PARSE","",54
"2013-09-01 06:16:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:16:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 06:16:00","Concurrency","library cache: mutex X","READ","1163:43115","app1-host","Module1","SOFT PARSE","",313
"2013-09-01 06:15:00","Concurrency","library cache: mutex X","READ","1163:43115","app12-host","Module1","SOFT PARSE","",173
"2013-09-01 06:14:00","Concurrency","library cache: mutex X","READ","1163:43115","app1-host","Module1","SOFT PARSE","",1723
"2013-09-01 06:14:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","MMON_SLAVE","NONE","",6
"2013-09-01 06:13:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 06:13:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:12:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 06:12:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","MMON_SLAVE","NONE","",6
"2013-09-01 06:11:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 06:11:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 06:10:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 06:09:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",168
"2013-09-01 06:09:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",10
"2013-09-01 06:09:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",5
"2013-09-01 06:09:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",5
"2013-09-01 06:08:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","MMON_SLAVE","NONE","",6
"2013-09-01 06:08:00","ON CPU","ON CPU","READ","","app1-host","Module1","NONE","",1
"2013-09-01 06:07:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 06:06:00","Concurrency","library cache: mutex X","READ","1163:43115","app1-host","Module1","SOFT PARSE","",1806
"2013-09-01 06:06:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 06:06:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:06:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 06:05:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:03:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",249
"2013-09-01 06:03:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:01:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:00:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 05:59:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 05:56:00","Concurrency","library cache: mutex X","READ","8075:7325","app12-host","Module1","SOFT PARSE","",153
"2013-09-01 05:55:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 05:55:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 05:54:00","Concurrency","library cache: mutex X","READ","8075:7325","app1-host","Module1","SOFT PARSE","",1498
"2013-09-01 05:53:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 05:53:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 05:50:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 05:50:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 05:50:00","Concurrency","library cache: mutex X","READ","8075:7325","app1-host","Module1","SOFT PARSE","z87t95y6arcb4",3
"2013-09-01 05:50:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 05:49:00","Concurrency","library cache: mutex X","READ","8075:7325","app1-host","Module1","SOFT PARSE","",1435
"2013-09-01 05:49:00","Concurrency","library cache: mutex X","READ","8075:7325","app12-host","Module1","SOFT PARSE","",129
"2013-09-01 05:49:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 05:48:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 05:44:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 05:43:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",5
"2013-09-01 05:43:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",5
"2013-09-01 05:42:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","vbr7dqxrcqr8u",84
"2013-09-01 05:42:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 05:41:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1193
"2013-09-01 05:41:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 05:41:00","Concurrency","library cache: mutex X","READ","5819:17159","db-server","EMPTY","NONE","",6
"2013-09-01 05:40:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","CURSOR CLOSE","",6
"2013-09-01 05:40:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","jpqp06u68cwbt",1
